n_consumers,cdf_value,J,q_capacity,MC,coeff_true,X_1
90,0.485521,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
89,0.500919,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
88,0.517161,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
87,0.532267,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
86,0.548535,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
85,0.56349,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
84,0.579783,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
83,0.595989,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
82,0.610216,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
81,0.625357,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
80,0.640906,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
79,0.655782,100,5,1000000,[2],"[0.6991087476815825, 0.18815196003850598, 0.043808563746864815, 0.2050189523942888, 0.10606287447626572, 0.7272401436844548, 0.6794005235251416, 0.4738457034082185, 0.4482958244803046, 0.01910694787246603, 0.7525983372085793, 0.6024485390081266, 0.9617775753081896, 0.6643686473564756, 0.6066296193186763, 0.44915131493171645, 0.22535416319269552, 0.6701742968926956, 0.7357665924519133, 0.2579956380781936, 0.09554215386036546, 0.9609097422366777, 0.2517672867680111, 0.2821651194436432, 0.7682539346627851, 0.7979233971149834, 0.5440371984004161, 0.3827076306466419, 0.38165095020199724, 0.2858273884771829, 0.7402681531406573, 0.23898683243572905, 0.4377217046498637, 0.8835387027765857, 0.2892811403327177, 0.784506857087421, 0.7589536567735904, 0.4177853849344335, 0.225768767596083, 0.42009813893059855, 0.06436369088127136, 0.5964326869209966, 0.8373237223108303, 0.8924863863290551, 0.20052744388322685, 0.5023952343652898, 0.8953818444612753, 0.25592093138827066, 0.8672323429662903, 0.01648793481663091, 0.5524969543710594, 0.5279053864859401, 0.9233503868700185, 0.2459484435262107, 0.06401837615878514, 0.902104704586198, 0.8740398003743294, 0.16366729055286722, 0.9997413066863959, 0.3468039703467236, 0.3128781593441584, 0.847104020990443, 0.8802311026324962, 0.676558651546646, 0.0536751542716537, 0.5592137735196149, 0.6945129418277548, 0.8241973026654624, 0.31142865886197046, 0.5052305408491463, 0.8490037878830786, 0.29351563269757963, 0.6771195506548116, 0.42090640219720343, 0.6817127136293417, 0.22122798948648803, 0.548997698432867, 0.8488467194750853, 0.7365669013092747, 0.49962258628095824, 0.3796649930632635, 0.7875208106001731, 0.16886930756498542, 0.5863586139898459, 0.4312106707158673, 0.06191018519581948, 0.28945477469410485, 0.734145398346135, 0.28865545494447464, 0.39039811413050074, 0.635617323712327, 0.8311488567392082, 0.3194210005732836, 0.15922478762464465, 0.7116642159467059, 0.8727086430908736, 0.5931563654250516, 0.6947128788862139, 0.17323332029330274, 0.5317325923046837]"
